"Farm_ID","X2a.Total.Cattle.2010","X2b.Total.Sheep.2010","X2c.Total.Goats.2010","X4a.Cows.Abort.2010","X4a.Ewes.Abort.2010","X4a.Does.Abort.2010","X4b.AdultCattle.Die.2010","X4b.Calves.Die.2010","X4b.AdultSheep.Die.2010","X4b.Lambs.Die.2010","X4b.AdultGoats.Die.2010","X4b.GoatKids.Die.2010","X5.RVF.Vax.before.Outbreak.2010","X6.RVF.Vax.During.Outbreak.2010","X3.Outbreak","Max.Dist.Purch.Ave","f9.Prct.Access.to.Pan.Ave","f9.Pan.Num.Ave","Num_Natural_WaterSources.Ave","f14.Size.Farm.15","f2.Communal.or.Private.15","f18.Production.15","District","CumSum.2m.Rain","Prct.Rain.Days.2m","Ave.2m.CumSum","CumSum.2m.Rain_Oct","Prct.Rain.Days.2m_Oct","TotalPopDomR_2010","TotalRVFDeathsDomR.2010","TotalRVFAbortionsDomR.2010","PrctRVFAbort.2010","PrctRVFDeath.2010","PrctCattle_Ave.2010","PrctGoats_Ave.2010","X2a.Total.Cattle.2010.Stand","X2b.Total.Sheep.2010.Stand","X2c.Total.Goats.2010.Stand","Sum.Ruminants.Gained.Ave.Stand","Max.Dist.Purch.Ave.Stand","f14.Size.Farm.15.Stand","f9.Pan.Num.Ave.Stand","Num_Natural_WaterSources.Ave.Stand","CumSum.2m.Rain.Stand","TotalPopDomR_2010.Stand","TotalRVFDeathsDomR.2010.Stand","TotalRVFAbortionsDomR.2010.Stand","Prct.Rain.Days.2m.Stand","PrctSheep_Ave.2010","PrctGoats_Ave.2010.Stand","CumSum.2m.Rain_Oct.Stand","Prct.Rain.Days.2m_Oct.Stand","Sheep.Present.2010","Cattle.Present.2010","Goats.Present.2010"
"001b",550,300,0,0,30,0,26,0,5,10,0,0,0,1,1,0,0,0,5.5,5500,"P","Commercial","Boshof",258.968477,0.516666666666667,271.076835666667,203.883778,0.516666666666667,850,41,30,0.0352941176470588,0.0482352941176471,0.647058823529412,0,1.04262493275415,-0.275919772467669,-0.24450260126359,-0.158907765236155,-0.136464600747222,0.902423987603064,-0.575962463956698,-0.266762153385821,-0.857019864773032,0.0607171941960598,0.782380787291935,0.0919574495698589,0.336568372893524,0.352941176470588,-0.302113189811343,0.0326421609716993,0.577780821071235,1,1,0
"003h",120,1500,0,0,468,0,0,0,135,0,0,0,0,1,1,0,60,3.25,11.5,2096,"P","Commercial","Herbert",257.304971,0.5,254.597278222222,161.885366,0.483333333333333,1620,135,468,0.288888888888889,0.0833333333333333,0.0740740740740741,0,-0.155767835163212,0.841352800372562,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.158643636903407,1.49909860711131,0.320604055904061,-0.905692757672706,0.756090117314048,3.48536862210144,6.01509905421666,-0.0146334075171093,0.925925925925926,-0.302113189811343,-1.06855039363992,-0.365534805167519,1,1,0
"006b",400,150,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55,2,25,11700,"P","Commercial","Boshof",260.354684,0.533333333333333,271.006554333333,185.432035,0.483333333333333,550,0,0,0,0,0.727272727272727,0,0.624580943945767,-0.415578844072698,-0.24450260126359,-0.158907765236155,-0.136464600747222,2.83503834481227,0.700998195162079,1.6421780268063,-0.81646052513267,-0.210207321304455,-0.39658199172072,-0.313737180885401,0.687770153304134,0.272727272727273,-0.302113189811343,-0.451159988766894,-0.365534805167519,1,1,0
"008h",70,1800,0,7,80,0,8,0,120,0,0,0,0,1,1,0,50,3.5,7.5,850,"P","Semi-Commercial","Herbert",254.37678,0.5,256.097747333333,150.845637,0.466666666666667,1870,128,87,0.046524064171123,0.0684491978609626,0.0374331550802139,0,-0.295115831432673,1.12067094358262,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.547036780303837,1.65871868950116,-0.0709734169558607,-0.991369350923823,0.98186054689781,3.28408229397732,0.862777247434853,-0.0146334075171093,0.962566844919786,-0.302113189811343,-1.35801056131793,-0.837192618286868,1,1,0
"009b",100,200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90.5,1,8.5,517,"P","Semi-Commercial","Boshof",324.04662,0.533333333333333,272.358704888889,239.82223,0.5,300,0,0,0,0,0.333333333333333,0,-0.211507033670996,-0.369025820204355,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.650836874005557,0.0625178656026901,0.0269209512591196,1.04711602914542,-0.435977750888217,-0.39658199172072,-0.313737180885401,0.687770153304134,0.666666666666667,-0.302113189811343,0.974943402425,0.106123007951857,1,1,0
"011b",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,584,"P","Small holder","Brandfort",319.71279,0.55,276.553913,249.06794,0.516666666666667,50,0,0,0,0,1,0,-0.350855029940457,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.629952170467973,-0.575962463956698,-0.511498073923272,0.920311531033965,-0.661748180471979,-0.39658199172072,-0.313737180885401,1.03897193371477,0,-0.302113189811343,1.2173646400208,0.577780821071235,0,1,0
"014k",184,700,0,0,5,0,0,0,0,8,0,0,1,0,1,0,55,1.5,7,1080,"P","Commercial","Kimberley",248.219867,0.5,258.898327777778,146.061983,0.466666666666667,884,8,5,0.00565610859728507,0.00904977375565611,0.208144796380091,0,0.0225976000616975,0.0965044184790749,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.475343021891237,0.381758030382384,-0.119920601063351,-1.17151584095248,0.0914219726194515,-0.166540473864593,-0.246121409142858,-0.0146334075171093,0.791855203619909,-0.302113189811343,-1.48343730765868,-0.837192618286868,1,1,0
"015b",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,147,"P","Semi-Commercial","Bloemfontein",295.28356,0.516666666666667,264.213055,240.73865,0.5,20,0,0,0,0,1,0,-0.434463827702133,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.766170311451912,-0.575962463956698,-0.511498073923272,0.20553124445158,-0.688840632022031,-0.39658199172072,-0.313737180885401,0.336568372893524,0,-0.302113189811343,0.998971808091796,0.106123007951857,0,1,0
"016s",60,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1600,"P","Commercial","Smithfield",301.933913,0.45,356.710262333333,216.645527,0.533333333333333,4060,0,0,0,0,0.0147783251231527,0,-0.322985430686565,3.16900399378971,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.313252785480143,-0.575962463956698,-0.609392442138253,0.400115405442902,2.95960951005157,-0.39658199172072,-0.313737180885401,-1.06823874874899,0.985221674876847,-0.302113189811343,0.367253454908773,1.04943863419058,1,1,0
"024k",0,500,0,0,0,0,0,0,30,0,0,0,0,0,1,0,0,0,13.5,4000,"P","Commercial","Koffiefontein",271.02728,0.433333333333333,274.417392888889,177.072767,0.5,500,30,0,0,0.06,0,0,-0.490203026209918,-0.0897076769942969,-0.24450260126359,-0.158907765236155,-0.136464600747222,0.434855997955677,-0.575962463956698,0.516392792334021,-0.504188659525034,-0.255361407221207,0.466073700239759,-0.313737180885401,-1.41944052915962,1,-0.302113189811343,-0.670338839710192,0.106123007951857,1,0,0
"028j",0,500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2200,"P","Commercial","Jacobsdal",263.932691,0.483333333333333,252.999245333333,175.17613,0.483333333333333,500,0,0,0,0,0,0,-0.490203026209918,-0.0897076769942969,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.126225589621188,-0.575962463956698,-0.217814969278331,-0.711770820673964,-0.255361407221207,-0.39658199172072,-0.313737180885401,-0.365835187927742,1,-0.302113189811343,-0.720068399561192,-0.365534805167519,1,0,0
"033b",100,50,0,2,5,0,2,0,0,0,0,0,0,1,1,0,100,3,9,1200,"P","Commercial","Boshof",359.752521,0.566666666666667,289.539377,219.836799,0.533333333333333,150,2,7,0.0466666666666667,0.0133333333333333,0.666666666666667,0,-0.211507033670996,-0.508684891809384,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.437937582719446,1.33947852472147,0.0758681353666098,2.09184294642699,-0.571440008638474,-0.339071612256688,-0.21907510044584,1.3901737141254,0.333333333333333,-0.302113189811343,0.450928165422603,1.04943863419058,1,1,0
"033d",70,550,0,0,5,0,0,0,5,0,0,0,1,1,1,0,0,0,0,100,"P","Commercial","Dealesville",332.647171,0.533333333333333,307.724378333333,262.15655,0.533333333333333,620,5,5,0.00806451612903226,0.00806451612903226,0.112903225806452,0,-0.295115831432673,-0.0431546531259539,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.78082077512753,-0.575962463956698,-0.805181178568213,1.29876146817672,-0.146991601021001,-0.25280604306064,-0.246121409142858,0.687770153304134,0.887096774193548,-0.302113189811343,1.56054618417574,1.04943863419058,1,1,0
"034j",36,69,0,0,0,0,0,0,0,0,0,0,0,1,0,0,75,1,2,245,"P","Small holder","Jacobsdal",257.785013,0.466666666666667,251.871168444444,174.045712,0.466666666666667,105,0,0,0,0,0.342857142857143,0,-0.389872468895906,-0.490994742739413,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.735622536128283,0.0625178656026901,-0.609392442138253,-0.891647101778862,-0.612078685963552,-0.39658199172072,-0.313737180885401,-0.717036968338353,0.657142857142857,-0.302113189811343,-0.749707803193856,-0.837192618286868,1,1,0
"037b",700,200,0,0,0,0,0,0,5,0,0,0,0,1,1,0,100,7,8,428,"P","Small holder","Brandfort",323.954604,0.55,274.743024555556,260.52372,0.533333333333333,900,5,0,0,0.00555555555555556,0.777777777777778,0,1.46066892156253,-0.369025820204355,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.678579241391302,3.89339984295902,-0.0220262328483705,1.04442371248828,0.105871280112812,-0.25280604306064,-0.313737180885401,1.03897193371477,0.222222222222222,-0.302113189811343,1.51773360738244,1.04943863419058,1,1,0
"038b",250,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.5,55,2,3,6000,"P","Commercial","Boshof",327.41098,0.566666666666667,294.232625666667,256.37255,0.533333333333333,250,0,0,0,0,1,0,0.206536955137385,-0.555237915677727,-0.24450260126359,-0.158907765236155,0.0751084236670759,1.05827998415219,0.700998195162079,-0.511498073923272,1.14555458840277,-0.48113183680497,-0.39658199172072,-0.313737180885401,1.3901737141254,0,-0.302113189811343,1.40889050405446,1.04943863419058,0,1,0
"041b",120,80,0,0,3,0,4,2,0,0,0,0,0,0,1,0,0,0,0,675,"P","Commercial","Boshof",255.276619,0.5,254.201803777778,174.646726,0.483333333333333,200,6,3,0.015,0.03,0.6,0,-0.155767835163212,-0.480753077488378,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.601586379096032,-0.575962463956698,-0.805181178568213,-0.965040761021562,-0.526285922721722,-0.224050853328624,-0.273167717839875,-0.0146334075171093,0.4,-0.302113189811343,-0.733949299229056,-0.365534805167519,1,1,0
"044b",10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"P","Small holder","Bloemfontein",296.96453,0.516666666666667,263.914487444444,247.19244,0.5,20,0,0,0,0,0.5,0,-0.462333426956025,-0.545927310904058,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.810433414471865,-0.575962463956698,-0.805181178568213,0.254715120420507,-0.688840632022031,-0.39658199172072,-0.313737180885401,0.336568372893524,0.5,-0.302113189811343,1.16818928938673,0.106123007951857,1,1,0
"045s",30,1200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.5,6500,"P","Commercial","Smithfield",302.212722,0.45,350.285121777778,210.416523,0.516666666666667,1230,0,0,0,0,0.024390243902439,0,-0.406594228448241,0.562034657162505,-0.24450260126359,-0.158907765236155,-0.136464600747222,1.21413598070132,-0.575962463956698,0.0269209512591196,0.408273140128838,0.403888247163378,-0.39658199172072,-0.313737180885401,-1.06823874874899,0.975609756097561,-0.302113189811343,0.203929831447819,0.577780821071235,1,1,0
"045t",0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,10,970,"P","Commercial","Trompsburg",338.66494,0.5,337.412775111111,213.18059,0.516666666666667,1000,0,0,0,0,0,0,-0.490203026209918,0.375822561689133,-0.24450260126359,-0.158907765236155,1.89463643363004,-0.509631341132046,-0.575962463956698,0.17376250358159,1.47483671288998,0.196179451946317,-0.39658199172072,-0.313737180885401,-0.0146334075171093,1,-0.302113189811343,0.276403285940519,0.577780821071235,1,0,0
"046j",75,300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,850,"P","Commercial","Jagersfontein",291.42875,0.5,267.512418555556,220.270576,0.483333333333333,375,0,0,0,0,0.2,0,-0.281181031805727,-0.275919772467669,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.547036780303837,-0.575962463956698,-0.217814969278331,0.0927424993081317,-0.368246622013088,-0.39658199172072,-0.313737180885401,-0.0146334075171093,0.8,-0.302113189811343,0.46230173837488,-0.365534805167519,1,1,0
"054l",50,200,15,2,2,2,1,0,0,0,0,0,1,1,1,600,100,1,1,1309,"P","Commercial","Lukhof",266.47434,0.45,255.559245444444,146.547454,0.433333333333333,265,1,6,0.0226415094339623,0.00377358490566038,0.188679245283019,0.0566037735849057,-0.350855029940457,-0.369025820204355,0.103957163007559,-0.121952470995189,10.0190405711391,-0.403960975471736,0.0625178656026901,-0.707286810353233,-0.637404145972721,-0.467585611029944,-0.367826801988704,-0.232598254794349,-1.06823874874899,0.754716981132076,0.0376070441438601,-1.47070832517525,-1.78050824452562,1,1,1
"060k",40,0,20,6,0,8,11,4,0,0,8,13,0,1,1,0,0,0,1,60,"P","Semi-Commercial","Kimberley",262.660321,0.55,245.366943777778,177.685122,0.5,60,36,14,0.233333333333333,0.6,0.666666666666667,0.333333333333333,-0.378724629194349,-0.555237915677727,0.220110417764609,-0.158907765236155,-0.136464600747222,-0.793289254851461,-0.575962463956698,-0.707286810353233,-0.748999378153623,-0.652717363288629,0.638604838631855,-0.12441302000628,1.03897193371477,0,1.69846152125819,-0.654282976293756,0.106123007951857,0,1,1
"061b",200,300,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,150,"P","Commercial","Barkley West",253.154507,0.55,249.086721,156.175421,0.5,550,0,0,0,0,0.363636363636364,0.0909090909090909,0.0671889588679249,-0.275919772467669,0.917029946306908,-0.158907765236155,-0.136464600747222,-0.765235175472618,-0.575962463956698,0.467445608226531,-1.02713210911235,-0.210207321304455,-0.39658199172072,-0.313737180885401,1.03897193371477,0.545454545454545,0.243498095025801,-1.21826436190239,0.106123007951857,1,1,1
"068b",100,100,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,3.5,1224,"P","Commercial","Bloemfontein",286.71402,0.483333333333333,284.105378,215.14919,0.5,200,2,0,0,0.01,0.5,0,-0.211507033670996,-0.462131867941041,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.430456494885088,-0.575962463956698,-0.462550889815782,-0.0452068368174259,-0.526285922721722,-0.339071612256688,-0.313737180885401,-0.365835187927742,0.5,-0.302113189811343,0.328019705699639,0.106123007951857,1,1,0
"069r",0,120,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,220,"P","Commercial","Reddersburg",343.69711,0.533333333333333,275.075409777778,237.67558,0.516666666666667,120,0,0,0,0,0,0,-0.490203026209918,-0.443510658393703,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.743415335955739,-0.575962463956698,-0.707286810353233,1.62207409674249,-0.598532460188526,-0.39658199172072,-0.313737180885401,0.687770153304134,1,-0.302113189811343,0.918658536288704,0.577780821071235,1,0,0
"073b",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,8.5,"P","Small holder","Bloemfontein",294.35595,0.516666666666667,264.410016111111,222.1262,0.483333333333333,30,0,0,0,0,0,0,-0.490203026209918,-0.527306101356721,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.809342422496021,-0.575962463956698,-0.756233994460723,0.178390096669325,-0.67980981483868,-0.39658199172072,-0.313737180885401,0.336568372893524,1,-0.302113189811343,0.510955943037633,-0.365534805167519,1,0,0
"074b",100,0,120,0,0,0,4,5,0,0,5,8,0,1,1,0,100,1.5,3,3000,"P","Commercial","Boshof",264.688643,0.583333333333333,250.767172,172.473345,0.5,220,22,0,0,0.1,0.454545454545455,0.545454545454545,-0.211507033670996,-0.555237915677727,2.5431755129056,-0.158907765236155,-0.136464600747222,0.123144004857419,0.381758030382384,-0.511498073923272,-0.689652252581455,-0.508224288355021,0.236032182383631,-0.313737180885401,1.74137549453601,0,2.97155451921153,-0.790935048488679,0.106123007951857,0,1,1
"076b",2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,30,"C","Small holder","Bloemfontein",348.4086,0.533333333333333,275.104728333333,238.28466,0.516666666666667,44,0,0,0,0,0.0454545454545455,0,-0.484629106359139,-0.516133375628318,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.802640614644409,-0.575962463956698,-0.658339626245743,1.75992863298575,-0.66716667078199,-0.39658199172072,-0.313737180885401,0.687770153304134,0.954545454545455,-0.302113189811343,0.934628529658045,0.577780821071235,1,1,0
"081b",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1000,"C","Small holder","Barkley West",253.154507,0.55,249.086721,156.175421,0.5,16,0,0,0,0,1,0,-0.44561166740369,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.500279981339098,-0.575962463956698,-0.658339626245743,-1.02713210911235,-0.692452958895371,-0.39658199172072,-0.313737180885401,1.03897193371477,0,-0.302113189811343,-1.21826436190239,0.106123007951857,0,1,0
"085b",0,300,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50,5.5,13.5,1200,"P","Commercial","Brandfort",325.275734,0.55,269.567093777778,262.98357,0.533333333333333,300,0,0,0,0,0,0,-0.490203026209918,-0.275919772467669,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.437937582719446,2.93567934861994,0.516392792334021,1.08307894967801,-0.435977750888217,-0.39658199172072,-0.313737180885401,1.03897193371477,1,-0.302113189811343,1.5822305342058,1.04943863419058,1,0,0
"087b",200,0,0,4,0,0,0,0,0,0,0,0,0,1,1,220,0,0,1,2000,"P","Semi-Commercial","Bloemfontein",291.95763,0.5,259.635271666667,225.376996,0.483333333333333,200,0,4,0.02,0,1,0,0.0671889588679249,-0.555237915677727,-0.24450260126359,-0.158907765236155,3.58722062894443,-0.18856798824084,-0.575962463956698,-0.707286810353233,0.10821711713144,-0.526285922721722,-0.39658199172072,-0.259644563491366,-0.0146334075171093,0,-0.302113189811343,0.596191364599792,-0.365534805167519,0,1,0
"089b",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,3,595,"P","Commercial","Boshof",327.41098,0.566666666666667,294.232625666667,256.37255,0.533333333333333,60,0,0,0,0,1,0,-0.322985430686565,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.626523338543893,0.0625178656026901,-0.511498073923272,1.14555458840277,-0.652717363288629,-0.39658199172072,-0.313737180885401,1.3901737141254,0,-0.302113189811343,1.40889050405446,1.04943863419058,0,1,0
"090k",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6000,"P","Commercial","Kimberley",247.303237,0.5,244.847599444444,173.049781,0.5,200,0,0,0,0,1,0,0.0671889588679249,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,1.05827998415219,-0.575962463956698,-0.217814969278331,-1.19833572246696,-0.526285922721722,-0.39658199172072,-0.313737180885401,-0.0146334075171093,0,-0.302113189811343,-0.775820976284947,0.106123007951857,0,1,0
"092e",35,1500,0,0,0,0,2,0,0,100,0,0,0,0,1,0,0,0,3,2640,"P","Commercial","Edenburg",289.117737,0.45,329.443162666667,202.38703,0.533333333333333,1535,102,0,0,0.0664495114006515,0.0228013029315961,0,-0.392659428821295,0.841352800372562,-0.24450260126359,-0.158907765236155,-0.136464600747222,0.0109276873420456,-0.575962463956698,-0.511498073923272,0.0251240547466117,0.679328171255568,2.53644736094491,-0.313737180885401,-1.06823874874899,0.977198697068404,-0.302113189811343,-0.006602364600597,1.04943863419058,1,1,0
"094b",0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1,"P","Small holder","Bloemfontein",295.28356,0.516666666666667,264.213055,240.73865,0.5,45,0,0,0,0,0,1,-0.490203026209918,-0.555237915677727,0.800876691549858,-0.158907765236155,-0.136464600747222,-0.806661699355376,-0.575962463956698,-0.805181178568213,0.20553124445158,-0.666263589063655,-0.39658199172072,-0.313737180885401,0.336568372893524,0,5.69961094339725,0.998971808091796,0.106123007951857,0,0,1
"096b",0,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50,1,7,80,"P","Small holder","Bloemfontein",289.80791,0.483333333333333,293.760006444444,213.37231,0.5,40,0,0,0,0,0,0,-0.490203026209918,-0.517995496583052,-0.24450260126359,-0.158907765236155,-0.136464600747222,-0.787055014989496,0.0625178656026901,-0.119920601063351,0.0453179804139961,-0.67077899765533,-0.39658199172072,-0.313737180885401,-0.365835187927742,1,-0.302113189811343,0.28143015782725,0.106123007951857,1,0,0
"097b",160,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,1.5,2.5,2810,"P","Small holder","Boshof",302.92314,0.516666666666667,285.197760666667,214.922327,0.516666666666667,160,0,0,0,0,1,0,-0.0442894381476436,-0.555237915677727,-0.24450260126359,-0.158907765236155,-0.136464600747222,0.0639187261687495,0.381758030382384,-0.560445258030763,0.429059418764444,-0.562409191455124,-0.39658199172072,-0.313737180885401,0.336568372893524,0,-0.302113189811343,0.32207138921289,0.577780821071235,0,1,0
